tr_id,half_life,r_squared,Actual_D,D
FBtr0332129,1.569130318,0.530471812,0.441739716,1.82E-01
FBtr0088924,1.571148365,0.803037339,0.441172327,1.82E-01
FBtr0300496,1.571609472,0.84918075,0.441042888,1.82E-01
FBtr0301668,1.572378233,0.648782005,0.440827255,1.82E-01
FBtr0082334,1.573791962,0.875978223,0.440431262,1.81E-01
FBtr0074292,1.573908624,0.890614813,0.440398617,1.81E-01
FBtr0301583,1.574944899,0.752715877,0.440108845,1.81E-01
FBtr0089642,1.575842972,0.683863639,0.439858027,1.81E-01
FBtr0346508,1.581126132,0.744872116,0.43838829,1.80E-01
FBtr0346525,1.581126132,0.744872116,0.43838829,1.80E-01
FBtr0073723,1.582044827,0.85920146,0.438133717,1.79E-01
