,RPFs.DC1_t_bw_star_s.bam,RPFs.DC2_t_bw_star_s.bam,RPFs.DC3_t_bw_star_s.bam,RPFsRawCounts.DC1_t_bw_star_s.bam,RPFsRawCounts.DC2_t_bw_star_s.bam,RPFsRawCounts.DC3_t_bw_star_s.bam,mRNA.DC4_t_star_s.bam,mRNA.DC5_t_star_s.bam,mRNA.DC6_t_star_s.bam,mRNARawCounts.DC4_t_star_s.bam,mRNARawCounts.DC5_t_star_s.bam,mRNARawCounts.DC6_t_star_s.bam,TE.DC1_t_bw_star_s.bam,TE.DC2_t_bw_star_s.bam,TE.DC3_t_bw_star_s.bam
FBgn0033321,0,0,19.95566077,0,0,4,1.870354508,0,1.020547728,2,0,1,0.348389022,1,10.37127729
FBgn0033365,0,0,2.082229784,0,0,1,1.170948307,0.424119628,0.851894568,3,1,2,0.460628195,0.702188201,1.664365692
FBgn0033366,0,0,4.047282294,0,0,1,0,0.824371965,0,0,1,0,1,0.548133834,5.047282294
FBgn0033368,0,0,2.293802666,0,0,1,2.149878277,2.8032835,4.22304551,5,6,9,0.317472585,0.262930702,0.630628751
FBgn0033374,0,0,12.61294803,0,0,3,62.26016349,22.26529311,30.10167032,79,26,35,0.015807737,0.04298248,0.437691863
FBgn0033412,0,0,5.443364265,0,0,1,0,0,2.227022437,0,0,2,1,1,1.996690259
FBgn0033423,0,0,43.38225719,0,0,9,0,0,0,0,0,0,1,1,44.38225719
FBgn0033437,0,0,6.033365143,0,0,1,2.261920931,1.228907874,4.9368144,2,1,4,0.306567823,0.448650216,1.184703558
FBgn0033439,0,0,7.236814646,0,0,1,0,7.370164322,1.480384906,0,5,1,1,0.119471968,3.32078083
FBgn0033447,0,0,6.712783189,0,0,3,0.838878715,1.82306047,0.915458287,2,4,2,0.543809655,0.354225498,4.0265994
FBgn0033538,0,0,4.094177757,0,0,2,3.069831228,3.33569553,4.606346282,8,8,11,0.245710435,0.230643502,0.908644864
FBgn0033558,0,0,2.797570688,0,0,1,2.62203743,9.117185028,12.59015128,5,16,22,0.276087705,0.098841723,0.279435498
FBgn0033589,0,0,48.37465981,0,0,3,0,0,6.5971121,0,0,2,1,1,6.49913535
FBgn0033600,0,0,10.92331028,0,0,1,0,0,0,0,0,0,1,1,11.92331028
FBgn0033629,0,0,26.91040678,0,0,4,0,0,1.376218749,0,0,1,1,1,11.74572282
FBgn0033654,0,0,2.618216123,0,0,1,10.79732037,18.66522607,9.10503487,22,35,17,0.084765012,0.050851183,0.358060726
FBgn0033658,0,0,45.40191535,0,0,4,4.255317729,4.623851695,0,2,2,0,0.190283452,0.177814077,46.40191535
FBgn0033728,0,0,20.55719101,0,0,3,0,0,0,0,0,0,1,1,21.55719101
FBgn0033730,0,0,50.01195598,0,0,4,0,0,0,0,0,0,1,1,51.01195598
FBgn0033760,0,0,7.425256142,0,0,2,2.087807785,1.51241563,0.759466537,3,2,1,0.323854355,0.398023316,4.788528776
FBgn0033777,0,0,2.538876241,0,0,1,134.6839302,120.4917105,127.7626283,283,233,246,0.00737007,0.008231014,0.027483722
FBgn0033821,0,0,68.63971999,0,0,5,0,0,0,0,0,0,1,1,69.63971999
FBgn0033873,0,0,17.39003462,0,0,3,0,0,2.371572395,0,0,2,1,1,5.454438602
FBgn0033874,0,0,12.38863239,0,0,2,0,0,0,0,0,0,1,1,13.38863239
FBgn0033932,0,0,3.283613272,0,0,1,0,0,0.671705959,0,0,1,1,1,2.562420292
FBgn0033936,0,0,5.489941126,0,0,3,0,0.372740128,1.123039124,0,1,3,1,0.728469999,3.056910753
